	corporate_name	102-1	102-2	102-3	102-4	102-5	102-6	102-7	102-8	102-9	102-10	102-11	102-12	102-13	102-14	102-15	102-16	102-17	102-18	102-19	102-20	102-21	102-22	102-23	102-24	102-25	102-26	102-27	102-28	102-29	102-30	102-31	102-32	102-33	102-34	102-35	102-36	102-37	102-38	102-39	102-40	102-41	102-42	102-43	102-44	102-45	102-46	102-47	102-48	102-49	102-50	102-51	102-52	102-53	102-54	102-55	102-56	103-1	103-2	103-3	201-1	201-2	201-3	201-4	202-1	202-2	203-1	203-2	204-1	205-1	205-2	205-3	206-1	301-1	301-2	301-3	302-1	302-2	302-3	302-4	302-5	303-1	303-2	303-3	304-1	304-2	304-3	304-4	305-1	305-2	305-3	305-4	305-5	305-6	305-7	306-1	306-2	306-3	306-4	306-5	307-1	308-1	308-2	401-1	401-2	401-3	402-1	403-1	403-2	403-3	403-4	404-1	404-2	404-3	405-1	405-2	406-1	407-1	408-1	409-1	410-1	411-1	412-1	412-2	412-3	413-1	413-2	414-1	414-2	415-1	416-1	416-2	417-1	417-2	417-3	418-1	419-1	reveal_num	unreveal_num
0	1101_台泥_2019(v1).pdf	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	58	78
1	1102_亞泥_2019(v1).pdf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136
2	1103_嘉泥_2019(v1).pdf	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	50	86
3	1104_環球水泥_2019(v1).pdf	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	59	77
4	1108_幸福水泥_2019(v1).pdf	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	132	4
5	1110_東泥_2019(v1).pdf	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	97	39
6	1201_味全公司_2019(v1).pdf	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	1	66	70
7	1203_味王公司_2019(v1).pdf	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	77	59
8	1210_大成長城_2019(v1).pdf	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	86
9	1213_大飲_2019(v1).pdf																																																																																																																																									0	136
